x_value,altitude
117,418.1098309143984
118,417.89857479313974
119,417.68216579565393
120,418.17967839234075
121,417.75285403249256
122,417.2608415044397
123,416.9443946996225
124,417.11197082395216
125,416.898011825564
126,417.08886257966935
127,417.2104548857402
128,417.1339040191022
129,417.0689643442813
130,416.62948044444727
131,416.2600968127398
132,416.67079749027437
133,416.9699911406797
134,417.25568094917435
135,417.6530552155112
136,417.62222632650474
137,417.77075021975907
138,417.81930644128954
139,418.15068230695726
140,418.33836100406546
141,418.40177259104473
142,418.82079235988454
143,418.49267896018654
144,418.12331696326186
145,418.53131407828295
146,418.24395088722434
147,418.4472808157219
148,418.08474634131767
149,418.4375103642625
150,418.29631009795486
151,418.23484092467567
152,418.61504076825713
153,418.9051042631907
154,419.39607283875694
155,419.77532491067967
156,419.9472508289635
157,419.81671295784173
158,419.66675130332436
159,419.6727658136715
160,419.819328804008
161,419.77103654706764
162,419.3800111259565
163,419.0910707567789
164,419.23226087981647
165,419.03695199686433
166,418.95206244643356
167,419.07528965001393
168,418.8042823613008
169,419.2523272623713
170,418.8140445043042
171,418.6708835551594
172,418.7504361484563
173,418.9065488602257
174,418.9995323717333
175,418.55801449957966
176,418.3913153810919
177,418.7964783361197
178,418.87921099194017
179,419.3700496601228
180,419.2158119685054
181,418.8691341159512
182,418.68819129320065
183,419.1382498862853
184,419.1900756898404
185,418.8085436584588
186,419.27231004665884
187,419.1002901541506
188,419.42145796642626
189,419.92115379254415
190,419.93307430413756
191,420.0713512302921
192,420.351942135772
193,420.66420325328966
194,420.94464465107
195,420.7104250554621
196,421.2097594676385
197,420.8738715335559
198,420.50413604544735
199,420.07210750039405
200,420.4928283986253
201,420.7957807813593
202,421.0142919040467
203,421.4148965029085
204,421.4855814961672
205,421.37743428202026
206,421.6541020869703
207,421.38576595098
208,421.6722873948397
209,421.71983776514253
210,421.53273866579406
211,421.1199912085183
212,420.7086863215288
213,421.1688599439158
214,421.31458257746567
215,420.90833903946833
216,421.2220840757575
217,421.26793857463787
218,420.9232618616817
219,421.1769693851146
220,421.03103544705834
221,421.51239687741145
222,421.9223853089741
223,421.9712620081469
224,421.546372248881
225,421.28913408386927
226,421.44522546094487
227,421.29781568176537
228,420.83035923945505
229,420.6860976876503
230,420.70407174310395
231,421.1794461345784
232,420.93253409913694
233,421.35966545216087
234,421.7959424390699
235,421.9630557383947
236,421.5668796928356
237,421.1045564616341
238,421.4406635589855
239,421.2667044216675
240,421.60948454505433
241,421.97233600557314
242,421.47813470485147
243,420.9836394580328
244,420.96498252032876
245,420.7990840691708
246,420.389194735294
247,420.0196387367636
248,420.4525641549119
249,420.5097042472744
250,420.6149745923078
251,420.988497686154
252,420.6185752103502
253,420.86365897615246
254,421.3579981381307
255,421.007944402253
256,421.026696342269
257,420.68923805181754
258,420.73590590693806
259,420.3795578901039
260,420.6594313437295
261,420.4543939084489
262,420.9401749941952
263,420.83748740948545
264,421.02088924689843
265,420.7068431356578
266,420.57731060859913
267,420.326306158394
268,420.27589911211527
269,420.420870184704
270,420.8458281391605
271,421.34160235688455
272,421.1335629013629
273,421.51599652167647
274,421.64763871320446
275,422.0016059027097
276,421.9604817303309
277,421.6379849250969
278,421.14069638201374
279,421.1860008640709
280,421.0120533195283
281,420.9267434072573
282,420.612787682467
283,420.42176805224324
284,419.9680547376493
285,420.0251147875741
286,420.17819884538596
287,420.1115081032611
288,420.54845930647923
289,420.09151372800403
290,419.8299709498242
291,419.889250608618
292,419.8055647846978
293,419.8521882663582
294,419.43188183722845
295,419.0721302014712
296,418.87167545799696
297,419.1030313010023
298,419.12656396258154
299,418.93921673948546
300,418.4581907824926
301,418.42214601884666
302,418.84976520538623
303,419.02745777085164
304,418.8940832396559
305,418.8964423532647
306,418.6360870849686
307,418.4981199745664
308,418.2776292021436
309,418.712359702148
310,418.82531878759704
311,418.4046881317457
312,418.71748212553325
313,419.10670544336125
314,418.9733073618168
315,418.49555192949214
316,418.34096512896616
317,417.9572834328407
318,417.49121783442627
319,417.5405016840285
320,417.8083744412445
321,417.40515870516197
322,417.59444400836844
323,417.6872272789624
324,417.9063945604453
325,417.5608407090847
326,418.01735271741757
327,418.23259753862425
328,418.5584784021797
329,418.7287384286688
330,418.3729812291565
331,418.6356490499136
332,418.85844169833604
333,419.2511213106066
334,419.41496040671717
335,418.99238302501675
336,418.5433027742353
337,418.74297035556464
338,419.0491657263643
339,419.01658812223644
340,418.9991617669615
341,418.9532720735845
342,418.65031813990936
343,418.57129544277984
344,418.56846290113987
345,418.86398245340996
346,418.64309977250207
347,418.5719429667228
348,418.13197826004904
349,418.0388324233378
350,418.2121671061532
351,418.52835058400325
352,418.0518456445541
353,417.98043402963947
354,418.4004726635568
355,418.7608715657383
356,418.54027609419524
357,418.47514722662737
358,418.0478202470042
359,417.73776220092236
360,417.28178477829704
361,417.3291918708206
362,417.16001059216336
363,417.31355111521304
364,416.877339421183
365,416.9836236137153
366,417.15428530247794
367,417.2152980151817
368,417.3936006919695
369,417.4831503192633
370,417.0906631373849
371,417.43417412220305
372,416.97150590141933
373,417.42938341774084
374,417.3789436457702
375,417.2957183914582
376,417.28132140306394
377,416.98414268822336
378,417.44036471864723
379,417.566118987391
380,417.16101957945756
381,417.4091407149918
382,417.20476568586645
383,417.0860646093759
384,416.66836090510446
385,416.55774944740574
386,416.9507533460092
387,416.55651595697185
388,416.7920795244418
389,416.8563707170505
390,416.7557015674575
391,417.0677285634836
392,416.8735353631052
393,416.55920624179043
394,416.4465857283922
395,416.2396414852104
396,416.62634098640586
